Dates;PX_LAST
03/12/2020;-0.16104
04/12/2020;-0.175013
05/12/2020;-0.178865
06/12/2020;-0.1714
07/12/2020;-0.172545
08/12/2020;-0.171863
09/12/2020;-0.165024
10/12/2020;-0.168161
11/12/2020;-0.173045
12/12/2020;-0.155969
13/12/2020;-0.160607
14/12/2020;-0.141003
15/12/2020;-0.15966
16/12/2020;-0.158273
17/12/2020;-0.164827
18/12/2020;-0.168407
19/12/2020;-0.174747
20/12/2020;-0.200196
21/12/2020;-0.184809
22/12/2020;-0.177752
23/12/2020;-0.159401
24/12/2020;-0.162087
25/12/2020;-0.142266
26/12/2020;-0.131329
27/12/2020;-0.134944
28/12/2020;-0.127538
29/12/2020;-0.108814
30/12/2020;-0.098262
31/12/2020;-0.098668
01/01/2021;-0.123095
02/01/2021;-0.104823
03/01/2021;-0.102549
04/01/2021;-0.099018
05/01/2021;-0.10432
06/01/2021;-0.098291
07/01/2021;-0.081628
08/01/2021;-0.085219
09/01/2021;-0.097452
10/01/2021;-0.095792
11/01/2021;-0.069498
12/01/2021;-0.065848
13/01/2021;-0.060426
14/01/2021;-0.062104
15/01/2021;-0.085883
16/01/2021;-0.065442
17/01/2021;-0.08614
18/01/2021;-0.080884
19/01/2021;-0.084738
20/01/2021;-0.090411
21/01/2021;-0.091029
22/01/2021;-0.107147
23/01/2021;-0.120562
24/01/2021;-0.107999
25/01/2021;-0.093338
26/01/2021;-0.087206
27/01/2021;-0.070249
28/01/2021;-0.063341
29/01/2021;-0.07647
30/01/2021;-0.083685
31/01/2021;-0.05276
01/02/2021;-0.037735
02/02/2021;-0.03147
03/02/2021;-0.027464
04/02/2021;-0.037333
05/02/2021;-0.044147
06/02/2021;-0.040338
07/02/2021;-0.046044
08/02/2021;-0.037701
09/02/2021;-0.027961
10/02/2021;-0.027802
11/02/2021;-0.016583
12/02/2021;-0.027335
13/02/2021;-0.034775
14/02/2021;-0.039361
15/02/2021;-0.045614
16/02/2021;-0.05146
17/02/2021;-0.042394
18/02/2021;-0.034619
19/02/2021;-0.04323
20/02/2021;-0.030452
21/02/2021;-0.010188
22/02/2021;-0.002357
23/02/2021;-0.009675
24/02/2021;0.001687
25/02/2021;0.007349
26/02/2021;-0.015059
27/02/2021;-0.003733
28/02/2021;-0.005467
01/03/2021;-0.008715
02/03/2021;0.012526
03/03/2021;0.030754
04/03/2021;0.037157
05/03/2021;0.030867
06/03/2021;0.046341
07/03/2021;0.038471
08/03/2021;0.053563
09/03/2021;0.054115
10/03/2021;0.052788
11/03/2021;0.057267
12/03/2021;0.053072
13/03/2021;0.051994
14/03/2021;0.063389
15/03/2021;0.056919
16/03/2021;0.053438
17/03/2021;0.061164
18/03/2021;0.058584
19/03/2021;0.064194
20/03/2021;0.058002
21/03/2021;0.054171
22/03/2021;0.061275
23/03/2021;0.054289
24/03/2021;0.061625
25/03/2021;0.064659
26/03/2021;0.051076
27/03/2021;0.030395
28/03/2021;0.048418
29/03/2021;0.045016
30/03/2021;0.047039
31/03/2021;0.058771
01/04/2021;0.055041
02/04/2021;0.051655
03/04/2021;0.070178
04/04/2021;0.080693
05/04/2021;0.096551
06/04/2021;0.111202
07/04/2021;0.11498
08/04/2021;0.117335
09/04/2021;0.110513
10/04/2021;0.106571
11/04/2021;0.117115
12/04/2021;0.131203
13/04/2021;0.130969
14/04/2021;0.132003
15/04/2021;0.128426
16/04/2021;0.128858
17/04/2021;0.10799
18/04/2021;0.10543
19/04/2021;0.090556
20/04/2021;0.094975
21/04/2021;0.088785
22/04/2021;0.097102
23/04/2021;0.081948
24/04/2021;0.08181
25/04/2021;0.091674
26/04/2021;0.103696
27/04/2021;0.110365
28/04/2021;0.12996
29/04/2021;0.148338
30/04/2021;0.1504
01/05/2021;0.174026
02/05/2021;0.167368
03/05/2021;0.193174
04/05/2021;0.187226
05/05/2021;0.185753
06/05/2021;0.177453
07/05/2021;0.142853
08/05/2021;0.125752
09/05/2021;0.135537
10/05/2021;0.138342
11/05/2021;0.117355
12/05/2021;0.103566
13/05/2021;0.097552
14/05/2021;0.086621
15/05/2021;0.09401
16/05/2021;0.1003
17/05/2021;0.095099
18/05/2021;0.102513
19/05/2021;0.11258
20/05/2021;0.101707
21/05/2021;0.081028
22/05/2021;0.105874
23/05/2021;0.096993
24/05/2021;0.092755
25/05/2021;0.095979
26/05/2021;0.096175
27/05/2021;0.091964
28/05/2021;0.09318
29/05/2021;0.095595
30/05/2021;0.098843
31/05/2021;0.087475
01/06/2021;0.073252
02/06/2021;0.065202
03/06/2021;0.067344
04/06/2021;0.062592
05/06/2021;0.074787
06/06/2021;0.082579
07/06/2021;0.071202
08/06/2021;0.068299
09/06/2021;0.09606
10/06/2021;0.096713
11/06/2021;0.082935
12/06/2021;0.067535
13/06/2021;0.079586
14/06/2021;0.082419
15/06/2021;0.072287
16/06/2021;0.066377
17/06/2021;0.079426
18/06/2021;0.074932
19/06/2021;0.078443
20/06/2021;0.085434
21/06/2021;0.101246
22/06/2021;0.09899
23/06/2021;0.086476
24/06/2021;0.081685
25/06/2021;0.063222
26/06/2021;0.06548
27/06/2021;0.079039
28/06/2021;0.089965
29/06/2021;0.076499
30/06/2021;0.074201
01/07/2021;0.075991
02/07/2021;0.074272
03/07/2021;0.084908
04/07/2021;0.085541
05/07/2021;0.073486
06/07/2021;0.079187
07/07/2021;0.071229
08/07/2021;0.062964
09/07/2021;0.048193
10/07/2021;0.07243
11/07/2021;0.078453
12/07/2021;0.082967
13/07/2021;0.082702
14/07/2021;0.104075
15/07/2021;0.124181
16/07/2021;0.115274
17/07/2021;0.105171
18/07/2021;0.105951
19/07/2021;0.109711
20/07/2021;0.094419
21/07/2021;0.104223
22/07/2021;0.085382
